apex_Longitude,apex_Latitude
10.6,14
10.8,14.4
11,14.3
11.4,14.3
11.5,14.5
11.3,14.7
12,15.2
12.1,15.5
12.7,15.5
12.9,15.7
13.1,15.7
13.3,16.1
13.5,16.5
14,16.8
14.6,17.1
14.9,16.5
15.1,16.5
15.2,16.3
15.3,16.3
15.4,16.2
15.4,15.9
15.6,15.7
15.6,15.5
15.7,15.5
15.7,15.3
15.8,15.2
15.7,15
15.8,15
15.8,14.7
15.6,14.6
15.7,14.3
15.9,14.1
15.5,14
15.6,13.9
15.6,13.5
15.5,13
15.4,12.6
15.3,12.4
15,11.3
14.8,11
14.3,11
14,11
13.8,10.9
13.6,10.4
13.3,10.5
13.1,10.2
13,10.1
12.6,10.2
12.6,10.5
12.4,10.5
12.4,11.3
12.1,11.4
12,11.6
11.7,11.5
11.7,11.8
11.8,11.9
11.5,12.6
11.2,12.7
11.5,13.1
11,13.7
11.1,13.8
11,13.9
11,14
