apex_Longitude,apex_Latitude
6,13
6.2,13.1
6.2,13.7
6.7,14
6.8,14
7.2,14.3
6.9,14.5
6.7,14.4
6.9,14.7
7.3,15.2
7.5,15.3
7.9,15.4
8.2,15.7
8.3,15.7
8.5,15.9
8.7,15.7
8.5,15.7
8.5,15.3
8.3,15.2
8.5,15
8.8,15.2
9.3,15.2
9.2,15.3
9.4,15.25
9.4,15.6
9.2,15.6
9.3,15.8
9.4,15.7
9.5,15.85
9.9,15.5
9.6,15.4
9.6,15.2
9.7,15.1
9.5,14.9
9.5,14.8
9.3,14.6
9.4,14.4
9.2,14.1
9.3,13.8
9.5,13.8
9.6,13.6
9.3,13.5
9.3,13.3
9.6,13.3
9.1,12.8
9.1,12.5
8.9,12.4
8.7,12.3
8.4,11.9
8,11.7
7.7,11.5
7.3,11.6
7,11.8
6.7,12.1
6.4,11.9
6.4,12.2
6.2,12.3
