longitude(double:m),	latitude(double:m),	heading(Azimuth),	speed(double:m/s)
68500,44290,180,0
68500,44280,180,5
68500,44260,180,10
68500,44240,180,10
68500,44220,180,10
68500,44200,180,10
68500,44180,180,10
68500,44160,180,10
68500,44140,180,10
68500,44120,180,10
68500,44100,180,10
68500,44080,180,10
68500,44060,180,10
68500,44040,180,10
68500,44020,180,10
68500,44000,180,10
68500,43980,180,10
68500,43960,180,10
68500,43940,180,10
68500,43920,180,10
68500,43900,180,10
68500,43880,180,10
68500,43860,180,10
68500,43840,180,10
68500,43820,180,10
68500,43800,180,10
68500,43780,180,10
68500,43760,180,10
68500,43740,180,10
68500,43720,180,10
68500,43700,180,10
68500,43680,180,10
68500,43660,180,10
68500,43640,180,10
68500,43620,180,10
68500,43600,180,10
68500,43580,180,10
68500,43560,180,10
68500,43540,180,10
68500,43520,180,10
68500,43500,180,10
68500,43480,180,10
68500,43460,180,10
68500,43440,180,10
68500,43420,180,10
68500,43400,180,10
68500,43380,180,10
68500,43360,180,10
68500,43340,180,10
68500,43320,180,10
68500,43300,180,10
68500,43280,180,10
68500,43260,180,10
68500,43240,180,10
68500,43220,180,10
68500,43200,180,10
68500,43180,180,10
68500,43160,180,10
68500,43140,180,10
68500,43120,180,10
68500,43100,180,10
68500,43080,180,10
68500,43060,180,10
68500,43040,180,10
68500,43020,180,10
68500,43000,180,10
68500,42980,180,10
68500,42960,180,10
68500,42940,180,10
68500,42920,180,10
68500,42900,180,10
68500,42880,180,10
68500,42860,180,10
68500,42840,180,10
68500,42820,180,10
68500,42800,180,10
68500,42780,180,10
68500,42760,180,10
68500,42740,180,10
68500,42720,180,10
68500,42700,180,10
68500,42680,180,10
68500,42660,180,10
68500,42640,180,10
68500,42620,180,10
68500,42600,180,10
68500,42580,180,10
68500,42560,180,10
68500,42540,180,10
68500,42520,180,10
68500,42500,180,10
68500,42480,180,10
68500,42460,180,10
68500,42440,180,10
68500,42420,180,10
68500,42400,180,10
68500,42380,180,10
68500,42360,180,10
68500,42340,180,10
68500,42320,180,10
68500,42300,180,10
68500,42280,180,5
68500,42270,180,0
68500,42270,180,0
68500,42270,180,0
68500,42270,180,0
68500,42270,180,0
68500,42260,180,5
68500,42240,180,10
68500,42220,180,10
68500,42200,180,10
68500,42180,180,10
68500,42160,180,10
68500,42140,180,10
68500,42120,180,10
68500,42100,180,10
68500,42080,180,10
68500,42060,180,10
68500,42040,180,10
68500,42020,180,10
68500,42000,180,10
68500,41980,180,10
68500,41960,180,10
68500,41940,180,10
68500,41920,180,10
68500,41900,180,10
68500,41880,180,10
68500,41860,180,10
68500,41840,180,10
68500,41820,180,10
68500,41800,180,10
68500,41780,180,10
68500,41760,180,10
68500,41740,180,10
68500,41720,180,10
68500,41700,180,10
68500,41680,180,10
68500,41660,180,10
68500,41640,180,10
68500,41620,180,10
68500,41600,180,10
68500,41580,180,10
68500,41560,180,10
68500,41540,180,10
68500,41520,180,10
68500,41500,180,10
68500,41480,180,10
68500,41460,180,10
68500,41440,180,10
68500,41420,180,10
68500,41400,180,10
68500,41380,180,10
68500,41360,180,10
68500,41340,180,10
68500,41320,180,10
68500,41300,180,10
68500,41280,180,10
68500,41260,180,10
68500,41240,180,10
68500,41220,180,10
68500,41200,180,10
68500,41180,180,10
68500,41160,180,10
68500,41140,180,10
68500,41120,180,10
68500,41100,180,10
68500,41080,180,10
68500,41060,180,10
68500,41040,180,10
68500,41020,180,10
68500,41000,180,10
68500,40980,180,10
68500,40960,180,10
68500,40940,180,10
68500,40920,180,10
68500,40900,180,10
68500,40880,180,10
68500,40860,180,10
68500,40840,180,10
68500,40820,180,10
68500,40800,180,10
68500,40780,180,10
68500,40760,180,10
68500,40740,180,10
68500,40720,180,10
68500,40700,180,10
68500,40680,180,10
68500,40660,180,10
68500,40640,180,10
68500,40620,180,10
68500,40600,180,10
68500,40580,180,10
68500,40560,180,10
68500,40540,180,10
68500,40520,180,10
68500,40500,180,10
68500,40480,180,10
68500,40460,180,10
68500,40440,180,10
68500,40420,180,10
68500,40400,180,10
68500,40380,180,10
68500,40360,180,10
68500,40340,180,10
68500,40320,180,10
