longitude(double:m),	latitude(double:m),	heading(Azimuth),	speed(double:m/s)
66270,42270,90,0
66270,42270,90,0
66270,42270,90,0
66270,42270,90,0
66270,42270,90,0
66270,42270,90,0
66270,42270,90,0
66270,42270,90,0
66270,42270,90,0
66270,42270,90,0
66270,42270,90,0
66270,42270,90,0
66270,42270,90,0
66270,42270,90,0
66270,42270,90,0
66270,42270,90,0
66270,42270,90,0
66270,42270,90,0
66270,42270,90,0
66270,42270,90,0
66270,42270,90,0
66270,42270,90,0
66270,42270,90,0
66270,42270,90,0
66270,42270,90,0
66270,42270,90,0
66270,42270,90,0
66270,42270,90,0
66270,42270,90,0
66270,42270,90,0
66270,42270,90,0
66270,42270,90,0
66270,42270,90,0
66270,42270,90,0
66270,42270,90,0
66270,42270,90,0
66270,42270,90,0
66270,42270,90,0
66270,42270,90,0
66270,42270,90,0
66270,42270,90,0
66270,42270,90,0
66270,42270,90,0
66270,42270,90,0
66270,42270,90,0
66270,42270,90,0
66270,42270,90,0
66270,42270,90,0
66270,42270,90,0
66270,42270,90,0
66270,42270,90,0
66270,42270,90,0
66270,42270,90,0
66270,42270,90,0
66270,42270,90,0
66270,42270,90,0
66280,42270,90,5
66300,42270,90,10
66320,42270,90,10
66340,42270,90,10
66360,42270,90,10
66380,42270,90,10
66400,42270,90,10
66420,42270,90,10
66440,42270,90,10
66460,42270,90,10
66480,42270,90,10
66500,42270,90,10
66520,42270,90,10
66540,42270,90,10
66560,42270,90,10
66580,42270,90,10
66600,42270,90,10
66620,42270,90,10
66640,42270,90,10
66660,42270,90,10
66680,42270,90,10
66700,42270,90,10
66720,42270,90,10
66740,42270,90,10
66760,42270,90,10
66780,42270,90,10
66800,42270,90,10
66820,42270,90,10
66840,42270,90,10
66860,42270,90,10
66880,42270,90,10
66900,42270,90,10
66920,42270,90,10
66940,42270,90,10
66960,42270,90,10
66980,42270,90,10
67000,42270,90,10
67020,42270,90,10
67040,42270,90,10
67060,42270,90,10
67080,42270,90,10
67100,42270,90,10
67120,42270,90,10
67140,42270,90,10
67160,42270,90,10
67180,42270,90,10
67200,42270,90,10
67220,42270,90,10
67240,42270,90,10
67260,42270,90,10
67280,42270,90,10
67300,42270,90,10
67320,42270,90,10
67340,42270,90,10
67360,42270,90,10
67380,42270,90,10
67400,42270,90,10
67420,42270,90,10
67440,42270,90,10
67460,42270,90,10
67480,42270,90,10
67500,42270,90,10
67520,42270,90,10
67540,42270,90,10
67560,42270,90,10
67580,42270,90,10
67600,42270,90,10
67620,42270,90,10
67640,42270,90,10
67660,42270,90,10
67680,42270,90,10
67700,42270,90,10
67720,42270,90,10
67740,42270,90,10
67760,42270,90,10
67780,42270,90,10
67800,42270,90,10
67820,42270,90,10
67840,42270,90,10
67860,42270,90,10
67880,42270,90,10
67900,42270,90,10
67920,42270,90,10
67940,42270,90,10
67960,42270,90,10
67980,42270,90,10
68000,42270,90,10
68020,42270,90,10
68040,42270,90,10
68060,42270,90,10
68080,42270,90,10
68100,42270,90,10
68120,42270,90,10
68140,42270,90,10
68160,42270,90,10
68180,42270,90,10
68200,42270,90,10
68220,42270,90,10
68240,42270,90,10
68260,42270,90,10
68280,42270,90,10
68300,42270,90,10
68320,42270,90,10
68340,42270,90,10
68360,42270,90,10
68380,42270,90,10
68400,42270,90,10
68420,42270,90,10
68440,42270,90,10
68460,42270,90,10
68480,42270,90,10
68500,42270,90,5
68510,42270,90,0
68510,42270,90,0
68510,42270,90,0
68520,42270,90,5
68540,42270,90,10
68560,42270,90,10
68580,42270,90,10
68600,42270,90,10
68620,42270,90,10
68640,42270,90,10
68660,42270,90,10
68680,42270,90,10
68700,42270,90,10
68720,42270,90,10
68740,42270,90,10
68760,42270,90,10
68780,42270,90,10
68800,42270,90,10
68820,42270,90,10
68840,42270,90,10
68860,42270,90,10
68880,42270,90,10
68900,42270,90,10
68920,42270,90,10
68940,42270,90,10
68960,42270,90,10
68980,42270,90,10
69000,42270,90,10
69020,42270,90,10
69040,42270,90,10
69060,42270,90,10
69080,42270,90,10
69100,42270,90,10
69120,42270,90,10
69140,42270,90,10
69160,42270,90,10
69180,42270,90,10
69200,42270,90,10
69220,42270,90,10
69240,42270,90,10
69260,42270,90,10
69280,42270,90,10
69300,42270,90,10
69320,42270,90,10
69340,42270,90,10
69360,42270,90,10
69380,42270,90,10
69400,42270,90,10
69420,42270,90,10
69440,42270,90,10
69460,42270,90,10
69480,42270,90,10
69500,42270,90,10
69520,42270,90,10
69540,42270,90,10
69560,42270,90,10
69580,42270,90,10
69600,42270,90,10
69620,42270,90,10
69640,42270,90,10
69660,42270,90,10
69680,42270,90,10
69700,42270,90,10
69720,42270,90,10
69740,42270,90,10
69760,42270,90,10
69780,42270,90,10
69800,42270,90,10
69820,42270,90,10
69840,42270,90,10
69860,42270,90,10
69880,42270,90,10
69900,42270,90,10
69920,42270,90,10
69940,42270,90,10
69960,42270,90,10
69980,42270,90,10
70000,42270,90,10
70020,42270,90,10
70040,42270,90,10
70060,42270,90,10
70080,42270,90,10
70100,42270,90,10
70120,42270,90,10
70140,42270,90,10
70160,42270,90,10
70180,42270,90,10
70200,42270,90,10
70220,42270,90,10
70240,42270,90,10
70260,42270,90,10
70280,42270,90,10
70300,42270,90,10
70320,42270,90,10
70340,42270,90,10
70360,42270,90,10
70380,42270,90,10
70400,42270,90,10
70420,42270,90,10
70440,42270,90,10
70460,42270,90,10
70480,42270,90,10
70500,42270,90,10
70520,42270,90,10
70540,42270,90,10
70560,42270,90,10
70580,42270,90,10
70600,42270,90,10
70620,42270,90,10
70640,42270,90,10
70660,42270,90,10
70680,42270,90,10
70700,42270,90,10
70720,42270,90,10
70740,42270,90,10
70760,42270,90,10
70780,42270,90,10
70800,42270,90,10
70820,42270,90,10
70840,42270,90,10
70860,42270,90,10
70880,42270,90,10
70900,42270,90,10
70920,42270,90,10
70940,42270,90,10
70960,42270,90,10
70980,42270,90,10
71000,42270,90,10
71020,42270,90,10
71040,42270,90,10
71060,42270,90,10
71080,42270,90,10
71100,42270,90,10
71120,42270,90,10
71140,42270,90,10
71160,42270,90,10
71180,42270,90,10
71200,42270,90,10
71220,42270,90,10
71240,42270,90,10
71260,42270,90,10
71280,42270,90,10
71300,42270,90,10
71320,42270,90,10
71340,42270,90,10
71360,42270,90,10
71380,42270,90,10
71400,42270,90,10
71420,42270,90,10
71440,42270,90,10
71460,42270,90,10
71480,42270,90,10
71500,42270,90,10
