longitude(double:m),	latitude(double:m),	heading(Azimuth),	speed(double:m/s)
77280.00,42010.00,135,5
77308.28,41981.72,135,5
77336.56,41953.44,135,5
77364.84,41925.16,135,5
77393.12,41896.88,135,5
77421.40,41868.60,135,5
77449.68,41840.32,135,5
77477.96,41812.04,135,5
77506.24,41783.76,135,5
77534.52,41755.48,135,5
77562.80,41727.20,135,5
77591.08,41698.92,135,5
77619.36,41670.64,135,5
77647.64,41642.36,135,5
77675.92,41614.08,135,5
77704.20,41585.80,135,5
77732.48,41557.52,135,5
77760.76,41529.24,135,5
77789.04,41500.96,135,5
77817.32,41472.68,135,5
77845.60,41444.40,135,5
77873.88,41416.12,135,5
77902.16,41387.84,135,5
77930.44,41359.56,135,5
77958.72,41331.28,135,5
77987.00,41303.00,135,5
78015.28,41274.72,135,5
78043.56,41246.44,135,5
78071.84,41218.16,135,5
78100.12,41189.88,135,5
78128.40,41161.60,135,5
78156.68,41133.32,135,5
78184.96,41105.04,135,5
78213.24,41076.76,135,5
78241.52,41048.48,135,5
78269.80,41020.20,135,5
78298.08,40991.92,135,5
78326.36,40963.64,135,5
78354.64,40935.36,135,5
78382.92,40907.08,135,5
78411.20,40878.80,135,5
78439.48,40850.52,135,5
78467.76,40822.24,135,5
78496.04,40793.96,135,5
78524.32,40765.68,135,5
78552.60,40737.40,135,5
78580.88,40709.12,135,5
78609.16,40680.84,135,5
78637.44,40652.56,135,5
78665.72,40624.28,135,5
78670,40630,120,5
78690,40630,90,5
78710,40630,90,5
78730,40630,90,5
78750,40630,90,5
78770,40630,90,5
78790,40630,90,5
78810,40630,90,5
78830,40630,90,5
78850,40630,90,5
78870,40630,90,5
78890,40630,90,5
78910,40630,90,5
78930,40630,90,5
78950,40630,90,5
78970,40630,90,5
78990,40630,90,5
79010,40630,90,5
79030,40630,90,5
79050,40630,90,5
79070,40630,90,5
79090,40630,90,5
79110,40630,90,5
79130,40630,90,5
79150,40630,90,5
79170,40630,90,5
79190,40630,90,5
79210,40630,90,5
79230,40630,90,5
79230,40630,0,5
79230,40650,0,5
79230,40670,0,5
79230,40690,0,5
79230,40710,0,5
79230,40730,0,5
79230,40750,0,5
79230,40770,0,5
79230,40790,0,5
79230,40810,0,5
79230,40830,0,5
79230,40850,0,5
79230,40870,0,5
79230,40890,0,5
79230,40910,0,5
79230,40930,0,5
79230,40950,0,5
79230,40970,0,5
79230,40990,0,5
79230,41010,0,5
79230,41030,0,5
79230,41050,0,5
79230,41070,0,5
79230,41090,0,5
79230,41110,0,5
79230,41130,0,5
79230,41150,0,5
79230,41170,0,5
79230,41190,0,5
79230,41210,0,5
79230,41230,0,5
79230,41250,0,5
79230,41270,0,5
79230,41290,0,5
79230,41310,0,5
79230,41330,0,5
79230,41350,0,5
79230,41370,0,5
79230,41390,0,5
79230,41410,0,5
79230,41430,0,5
79230,41450,0,5
79230,41470,0,5
79230,41490,0,5
79230,41510,0,5
79230,41530,0,5
79230,41550,0,5
79230,41570,0,5
79230,41590,0,5
79230,41610,0,5
79230,41620,0,3
79230,41625,0,0
