longitude(double:m),	latitude(double:m)
18.6,7
18.6,7.2
18.7,7.1
18.8,7.2
18.9,7
19.1,7.2
19.2,7.3
19.3,7.3
19.3,7.5
19.4,7.4
19.4,7.6
19.5,7.6
19.5,7.5
19.6,7.5
19.8,7.6
19.8,7.4
19.9,7.5
20,7.6
20.4,7.5
20.5,7.6
20.6,7.5
20.7,7.6
20.6,7.9
21,7.9
20.9,8.1
20.7,8.1
20.5,8.2
20.5,8.4
20.6,8.5
20.8,8.5
21,8.6
21.2,8.7
21.5,8.9
22,9
23.2,9.7
23.2,9.9
22.7,10
22.8,10.2
23.1,10.25
23.1,10.3
23.3,10.4
23.65,10.4
23.6,10.6
23.8,10.7
24.7,9.9
25.3,9.6
24.9,9.5
24.6,9.7
24.1,9.6
23.8,9.5
23.5,9.3
23.3,9.2
23.1,9.1
22.6,8.6
22.3,8.5
22.1,8.1
21.8,7.9
21.8,7.6
21.5,7.5
21.3,7.1
20.7,7
20.5,6.8
20.3,6.9
19.7,6.5
19.4,6.45
19.1,6.6
18.9,6.6
18.7,6.8
