longitude(double:m),	latitude(double:m)
41587.0,23764.0
42044.0,24678.0
41587.0,25135.0
42044.0,26049.0
42044.0,26963.0
42501.0,27420.0
42501.0,28334.0
42044.0,28334.0
42044.0,29705.0
42501.0,29705.0
42958.0,31076.0
43415.0,31990.0
44329.0,31533.0
46157.0,31990.0
47985.0,30162.0
48442.0,29248.0
47985.0,27877.0
50270.0,27420.0
50270.0,26963.0
50727.0,26963.0
51184.0,27420.0
51641.0,25592.0
53469.0,25592.0
54840.0,24221.0
54840.0,23307.0
53926.0,22850.0
53012.0,21479.0
53926.0,20565.0
53469.0,20108.0
53926.0,18737.0
53012.0,19194.0
53012.0,18737.0
53926.0,17823.0
53012.0,16452.0
51641.0,17366.0
50727.0,15538.0
49813.0,16909.0
49356.0,16909.0
49356.0,17823.0
48899.0,18737.0
47985.0,18737.0
48442.0,19651.0
47528.0,19194.0
47528.0,20108.0
47071.0,20108.0
47071.0,20565.0
46157.0,20565.0
44786.0,22850.0
45243.0,23307.0
44786.0,23764.0
43415.0,23307.0
42501.0,23307.0
43415.0,24221.0
42958.0,25135.0
42044.0,23764.0
