longitude(double:m),	latitude(double:m)
48442.0,63980.0
49356.0,65808.0
50270.0,65351.0
52098.0,65351.0
52555.0,66265.0
51641.0,67179.0
54840.0,69464.0
55297.0,70835.0
58039.0,70835.0
58953.0,71749.0
59867.0,71749.0
60781.0,73577.0
61695.0,75405.0
63980.0,76776.0
66722.0,78147.0
68093.0,75405.0
69007.0,75405.0
69464.0,74491.0
69921.0,74491.0
70378.0,74034.0
70378.0,72663.0
71292.0,71749.0
71292.0,70835.0
71749.0,70835.0
71749.0,69921.0
72206.0,69464.0
71749.0,68550.0
72206.0,68550.0
72206.0,67179.0
71292.0,66722.0
71749.0,65351.0
72663.0,64437.0
70835.0,63980.0
71292.0,63523.0
71292.0,61695.0
70835.0,59410.0
70378.0,57582.0
69921.0,56668.0
68550.0,51641.0
67636.0,50270.0
65351.0,50270.0
63980.0,50270.0
63066.0,49813.0
62152.0,47528.0
60781.0,47985.0
59867.0,46614.0
59410.0,46157.0
57582.0,46614.0
57582.0,47985.0
56668.0,47985.0
56668.0,51641.0
55297.0,52098.0
54840.0,53012.0
53469.0,52555.0
53469.0,53926.0
53926.0,54383.0
52555.0,57582.0
51184.0,58039.0
52555.0,59867.0
50270.0,62609.0
50727.0,63066.0
50270.0,63523.0
50270.0,63980.0
