longitude(double:m),	latitude(double:m),	heading(Azimuth),	speed(double:m/s)
17,7,200,0
17,7,200,1
17,7,200,2
17,7,200,3
17,7,200,4
17,7,200,5
17,7,200,6
17,7,200,7
17,7,200,8
17,7,200,9
17,7,200,10
17,7,200,11
17,7,200,12
17,7,200,13
17,7,200,14
17,7,200,15
17,7,200,16
17,7,200,17
17,7,200,18
17,7,200,19
17,7,200,20
17,7,200,21
17,7,200,22
17,7,200,23
17,7,200,24
17,7,200,25
17,7,200,26
17,7,200,27
17,7,200,28
17,7,200,29
17,7,200,30
17,7,200,31
17,7,200,32
17,7,200,33
17,7,200,34
17,7,200,35
17,7,200,36
17,7,200,37
17,7,200,38
17,7,200,39
17,7,200,40
17,7,200,41
17,7,200,42
17,7,200,43
17,7,200,44
17,7,200,45
17,7,200,46
17,7,200,47
17,7,200,48
17,7,200,49
17,7,200,50
17,7,200,51
17,7,200,52
17,7,200,53
17,7,200,54
17,7,200,55
